event_id,anomaly_score,reconstruction_error,latent_distance,predicted_anomaly,true_anomaly
0,0.069618896,3053.9302,3.5559173,1,1
1,0.7213122,39527.586,20.509253,1,1
2,0.02144643,1142.4878,1.3879458,0,1
3,1.0,54796.645,28.141994,1,1
4,0.0051401295,21.46104,1.2067202,0,1
5,0.052287098,3018.0088,2.0160103,0,1
6,0.056695323,3576.7559,1.7669021,1,1
7,0.41111344,19850.559,15.139771,1,1
8,0.016664844,1040.7256,1.0701956,0,1
9,0.40992442,20195.236,14.62941,1,1
10,0.13625143,7060.823,4.9656286,1,1
11,0.02698609,1801.8153,1.1248342,0,1
12,0.07321936,4526.0166,2.1682556,1,1
13,0.42229664,21759.922,13.934342,1,1
14,0.07008791,2908.5737,3.768188,1,1
15,0.005793477,118.01128,1.1537832,0,1
16,0.025077395,1389.9105,1.4308637,0,1
17,0.07362304,4890.021,1.7807157,1,1
18,0.08684611,4867.2036,3.0141225,1,1
19,0.015169801,491.8895,1.573621,0,1
20,0.005921714,29.218977,1.2690068,0,0
21,0.0051089595,0.19958004,1.2286636,0,0
22,0.0050123576,0.62159985,1.2193552,0,0
23,0.0049539036,1.0143546,1.2135625,0,0
24,0.009449172,130.68263,1.4726472,0,0
25,0.005196842,1.867142,1.23474,0,0
26,0.0050383275,0.21226235,1.2222025,0,0
27,0.011324754,289.89526,1.4582013,0,0
28,0.0051540225,0.141493,1.232844,0,0
29,0.005175908,0.65348274,1.2342445,0,0
30,0.01283388,743.71533,1.0668374,0,0
31,0.005079734,0.57765657,1.2255555,0,0
32,0.005525742,7.799321,1.257841,0,0
33,0.010014438,680.7833,0.8828914,0,0
34,0.0051285685,0.1671131,1.230491,0,0
35,0.0049870224,0.69015664,1.216963,0,0
36,0.0051042587,0.18886673,1.228247,0,0
37,0.012933422,519.73944,1.3370484,0,0
38,0.02338478,1330.5538,1.3455893,0,0
39,0.005200844,0.8227608,1.2363229,0,0
40,0.0050071124,1.0331885,1.2183967,0,0
41,0.0051140953,1.4464425,1.2276787,0,0
42,0.0050775423,0.6481496,1.2252734,0,0
43,0.005155873,1.0489042,1.2319549,0,0
44,0.6445266,34481.043,19.385017,1,0
45,0.0050936867,0.14636712,1.2273318,0,0
46,0.005363277,2.6190588,1.2490531,0,0
47,0.00511173,0.23213902,1.2288785,0,0
48,0.0051131775,0.14746301,1.2291093,0,0
49,0.0056162416,83.97508,1.1772895,0,0
50,0.0052189818,0.6097997,1.2382265,0,0
51,0.005041364,0.7316732,1.2218741,0,0
52,0.0060955845,26.627165,1.2878969,0,0
53,0.005052596,0.18700667,1.2235342,0,0
54,0.005399773,13.32279,1.2399048,0,0
55,0.0076147337,468.7038,0.9111391,0,0
56,0.005059811,0.61650217,1.2236919,0,0
57,0.0053279935,5.715719,1.2422227,0,0
58,0.005231216,0.9675026,1.238926,0,0
59,0.008012687,228.52884,1.2274705,0,0
60,0.005131938,0.13877496,1.2308316,0,0
61,0.0050883945,0.14928804,1.2268454,0,0
62,0.005245724,9.21108,1.2306392,0,0
63,0.005204615,10.81589,1.2250164,0,0
64,0.025721017,1871.5306,0.92809856,0,0
65,0.009119306,442.01242,1.0795724,0,0
66,0.005118889,0.6952889,1.2289919,0,0
67,0.0051054694,0.14967765,1.2284032,0,0
68,0.0059259115,58.837643,1.2348585,0,0
69,0.0050730193,0.18221003,1.2254038,0,0
70,0.00507375,3.6000526,1.2214857,0,0
71,0.005105741,0.19562785,1.2283745,0,0
72,0.0050583566,0.5623446,1.2236223,0,0
73,0.005142538,1.528225,1.2301791,0,0
74,0.0050868075,0.19506882,1.2266471,0,0
75,0.0052820193,4.3185244,1.2396557,0,0
76,0.0051063867,0.16291372,1.2284715,0,0
77,0.0052981293,0.6381557,1.2454169,0,0
78,0.0052441615,1.031983,1.2400323,0,0
79,0.0053060483,8.803306,1.2366201,0,0
80,0.0068363613,66.3091,1.30924,0,0
81,0.005091919,0.15749681,1.2271575,0,0
82,0.005068536,0.6973715,1.224394,0,0
83,0.005089602,0.7091167,1.2263029,0,0
84,0.0053055095,2.190712,1.2442803,0,0
85,0.027162015,1383.9731,1.6280389,0,0
86,0.0051206937,0.14803202,1.2297946,0,0
87,0.0053302436,31.306868,1.2125921,0,0
88,0.0050943405,0.14763573,1.2273899,0,0
89,0.0050447905,0.18445091,1.2228248,0,0
90,0.005042852,0.69874734,1.2220483,0,0
91,0.005141972,0.16230111,1.23172,0,0
92,0.0050927363,0.7573555,1.2265327,0,0
93,0.0051289666,0.1267334,1.2305745,0,0
94,0.0055969446,23.96206,1.2454957,0,0
95,0.011139452,491.36615,1.2064013,0,0
96,0.005030373,0.20998544,1.2214793,0,0
97,0.0066956244,52.93373,1.3119895,0,0
98,0.005157142,0.20753095,1.2330517,0,0
99,0.005780787,73.068054,1.2050229,0,0
100,0.0051488127,0.61123574,1.2318208,0,0
101,0.0055029667,7.500373,1.2561109,0,0
102,0.0056057046,10.597054,1.261877,0,0
103,0.005112238,27.252775,1.1974224,0,0
104,0.0050386027,0.6626868,1.2217026,0,0
105,0.36584646,18157.234,12.982673,1,0
106,0.010211162,309.39978,1.3338296,0,0
107,0.0051859547,0.56050557,1.2352698,0,0
108,0.006854288,93.26131,1.2794533,0,0
109,0.005251766,30.856937,1.2059544,0,0
110,0.0051017245,0.14950766,1.2280617,0,0
111,0.0051055104,0.17980103,1.2283719,0,0
112,0.0050932793,0.13872351,1.2273035,0,0
113,0.63205695,36756.75,15.5938,1,0
114,0.0048323246,9.705311,1.192334,0,0
115,0.38069147,17695.37,14.875978,1,0
116,0.006287597,81.641754,1.2412812,0,0
117,0.004966499,2.1247547,1.2134174,0,0
118,0.0050694076,0.55619717,1.2246381,0,0
119,0.005083434,0.7920248,1.2256433,0,0
120,0.005246244,0.8475579,1.2404374,0,0
121,0.005063838,1.1178318,1.223475,0,0
122,0.0049346164,3.4955149,1.2089095,0,0
123,0.0051149284,0.14874561,1.2292676,0,0
124,0.005158242,0.167653,1.2331985,0,0
125,0.005076075,0.21043195,1.2256497,0,0
126,0.005289634,36.160027,1.2032278,0,0
127,0.005296774,2.7714405,1.2428061,0,0
128,0.005134843,0.48926532,1.2306881,0,0
129,0.0051680803,0.57773596,1.2336184,0,0
130,0.009897642,361.52213,1.2444483,0,0
131,0.005130138,0.12012039,1.230689,0,0
132,0.38519412,17744.33,15.229829,1,0
133,0.0050317794,0.5887635,1.221166,0,0
134,0.0050490187,0.64651567,1.222672,0,0
135,0.0054952465,61.15756,1.1928492,0,0
136,0.009350118,511.03384,1.0201677,0,0
137,0.0060358453,26.11739,1.2830391,0,0
138,0.37623215,18688.18,13.311511,1,0
139,0.005152675,0.20971568,1.2326415,0,0
140,0.005027862,0.14058544,1.221331,0,0
141,0.004916065,1.6172415,1.2094063,0,0
142,0.0050805146,0.7475511,1.2254287,0,0
143,0.0051271063,0.16738947,1.2303573,0,0
144,0.0052252035,1.0530487,1.2382776,0,0
145,0.0148848435,634.5475,1.3812939,0,0
